name,type,dod_aggregate,agency_subelement,employment
FEDERAL TRADE COMMISSION,Large Independent Agencies (1000 or more employees),,FEDERAL TRADE COMMISSION,1121
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,IMMEDIATE OFFICE OF THE ADMINISTRATOR,45
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,PUBLIC BUILDINGS SERVICE,6814
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF CIVIL RIGHTS,11
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF SMALL BUSINESS UTILIZATION,10
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF THE CHIEF FINANCIAL OFFICER,550
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF GENERAL COUNSEL,142
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,GSA BOARD OF CONTRACT APPEALS,35
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,229
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF INSPECTOR GENERAL,324
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF THE CHIEF ACQUISITION OFFICER,67
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF CITIZEN SERVICES AND COMMUNICATIONS,136
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,9
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICES OF THE REGIONAL ADMINISTRATORS,157
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF GOVERNMENTWIDE POLICY,147
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF THE CHIEF INFORMATION OFFICER,219
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,FEDERAL ACQUISITION SERVICE,3771
GENERAL SERVICES ADMINISTRATION,Large Independent Agencies (1000 or more employees),,OFFICE OF EMERGENCY RESPONSE AND RECOVERY,16
BROADCASTING BOARD OF GOVERNORS,Large Independent Agencies (1000 or more employees),,BROADCASTING BOARD OF GOVERNORS,1754
GOVERNMENT PRINTING OFFICE,Large Independent Agencies (1000 or more employees),,GOVERNMENT PRINTING OFFICE,2309
NATIONAL SCIENCE FOUNDATION,Large Independent Agencies (1000 or more employees),,NATIONAL SCIENCE FOUNDATION,1504
NATIONAL LABOR RELATIONS BOARD,Large Independent Agencies (1000 or more employees),,NATIONAL LABOR RELATIONS BOARD,1663
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,"HEADQUARTERS, NASA",1557
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,AMES RESEARCH CENTER,1262
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,JOHN GLENN RESEARCH CENTER AT LEWIS FIELD,1643
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,LANGLEY RESEARCH CENTER,1945
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,DRYDEN FLIGHT RESEARCH CENTER,557
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,GODDARD SPACE FLIGHT CENTER,3221
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,GEORGE C. MARSHALL SPACE FLIGHT CENTER,2589
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,JOHN C. STENNIS SPACE CENTER,272
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,LYNDON B. JOHNSON SPACE CENTER,3334
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,Large Independent Agencies (1000 or more employees),,JOHN F. KENNEDY SPACE CENTER,2176
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,Large Independent Agencies (1000 or more employees),,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,3469
NUCLEAR REGULATORY COMMISSION,Large Independent Agencies (1000 or more employees),,NUCLEAR REGULATORY COMMISSION,4161
OFFICE OF PERSONNEL MANAGEMENT,Large Independent Agencies (1000 or more employees),,OFFICE OF PERSONNEL MANAGEMENT,5907
SMALL BUSINESS ADMINISTRATION,Large Independent Agencies (1000 or more employees),,SMALL BUSINESS ADMINISTRATION,3877
SECURITIES AND EXCHANGE COMMISSION,Large Independent Agencies (1000 or more employees),,SECURITIES AND EXCHANGE COMMISSION,3750
SMITHSONIAN INSTITUTION,Large Independent Agencies (1000 or more employees),,NATIONAL GALLERY OF ART,852
SMITHSONIAN INSTITUTION,Large Independent Agencies (1000 or more employees),,WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS,47
SMITHSONIAN INSTITUTION,Large Independent Agencies (1000 or more employees),,SMITHSONIAN INSTITUTION (EXCEPT UNITS ADMINISTERED UNDER SEPARATE BOARDS OF TRUSTEES),4075
SMITHSONIAN INSTITUTION,Large Independent Agencies (1000 or more employees),,JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,48
SOCIAL SECURITY ADMINISTRATION,Large Independent Agencies (1000 or more employees),,SOCIAL SECURITY ADMINISTRATION,67486
NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,Medium Independent Agencies (100-999 employees),,NATIONAL ENDOWMENT FOR THE HUMANITIES,184
NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,Medium Independent Agencies (100-999 employees),,INSTITUTE OF MUSEUM AND LIBRARY SERVICES,92
FEDERAL LABOR RELATIONS AUTHORITY,Medium Independent Agencies (100-999 employees),,FEDERAL LABOR RELATIONS AUTHORITY,134
MERIT SYSTEMS PROTECTION BOARD,Medium Independent Agencies (100-999 employees),,MERIT SYSTEMS PROTECTION BOARD,213
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,Medium Independent Agencies (100-999 employees),,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,102
PENSION BENEFIT GUARANTY CORPORATION,Medium Independent Agencies (100-999 employees),,PENSION BENEFIT GUARANTY CORPORATION,922
OFFICE OF MANAGEMENT AND BUDGET,Medium Independent Agencies (100-999 employees),,OFFICE OF MANAGEMENT AND BUDGET,536
COMMODITY FUTURES TRADING COMMISSION,Medium Independent Agencies (100-999 employees),,COMMODITY FUTURES TRADING COMMISSION,593
EXPORT,Medium Independent Agencies (100-999 employees),,EXPORT,388
OFFICE OF ADMINISTRATION,Medium Independent Agencies (100-999 employees),,OFFICE OF ADMINISTRATION,226
FARM CREDIT ADMINISTRATION,Medium Independent Agencies (100-999 employees),,FARM CREDIT ADMINISTRATION,278
FEDERAL MEDIATION AND CONCILIATION SERVICE,Medium Independent Agencies (100-999 employees),,FEDERAL MEDIATION AND CONCILIATION SERVICE,251
OFFICE OF SPECIAL COUNSEL,Medium Independent Agencies (100-999 employees),,OFFICE OF SPECIAL COUNSEL,105
OVERSEAS PRIVATE INVESTMENT CORPORATION,Medium Independent Agencies (100-999 employees),,OVERSEAS PRIVATE INVESTMENT CORPORATION,204
PRESIDIO TRUST,Medium Independent Agencies (100-999 employees),,PRESIDIO TRUST,340
INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,Medium Independent Agencies (100-999 employees),,INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,277
U.S. HOLOCAUST MEMORIAL MUSEUM,Medium Independent Agencies (100-999 employees),,U.S. HOLOCAUST MEMORIAL MUSEUM,192
FEDERAL HOUSING FINANCE AGENCY,Medium Independent Agencies (100-999 employees),,FEDERAL HOUSING FINANCE AGENCY,433
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Medium Independent Agencies (100-999 employees),,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,586
FEDERAL ELECTION COMMISSION,Medium Independent Agencies (100-999 employees),,FEDERAL ELECTION COMMISSION,365
U.S. TAX COURT,Medium Independent Agencies (100-999 employees),,U.S. TAX COURT,228
FEDERAL MARITIME COMMISSION,Medium Independent Agencies (100-999 employees),,FEDERAL MARITIME COMMISSION,125
MILLENNIUM CHALLENGE CORPORATION,Medium Independent Agencies (100-999 employees),,MILLENNIUM CHALLENGE CORPORATION,289
PEACE CORPS,Medium Independent Agencies (100-999 employees),,PEACE CORPS,855
ARMED FORCES RETIREMENT HOME,Medium Independent Agencies (100-999 employees),,ARMED FORCES RETIREMENT HOME,258
RAILROAD RETIREMENT BOARD,Medium Independent Agencies (100-999 employees),,RAILROAD RETIREMENT BOARD,967
CONSUMER PRODUCT SAFETY COMMISSION,Medium Independent Agencies (100-999 employees),,CONSUMER PRODUCT SAFETY COMMISSION,477
SELECTIVE SERVICE SYSTEM,Medium Independent Agencies (100-999 employees),,SELECTIVE SERVICE SYSTEM,178
NATIONAL TRANSPORTATION SAFETY BOARD,Medium Independent Agencies (100-999 employees),,NATIONAL TRANSPORTATION SAFETY BOARD,386
U.S. INTERNATIONAL TRADE COMMISSION,Medium Independent Agencies (100-999 employees),,U.S. INTERNATIONAL TRADE COMMISSION,396
OFFICE OF THE U.S. TRADE REPRESENTATIVE,Medium Independent Agencies (100-999 employees),,OFFICE OF THE U.S. TRADE REPRESENTATIVE,231
AFRICAN DEVELOPMENT FOUNDATION,Small Independent Agencies (less than 100 employees),,AFRICAN DEVELOPMENT FOUNDATION,27
APPALACHIAN REGIONAL COMMISSION,Small Independent Agencies (less than 100 employees),,APPALACHIAN REGIONAL COMMISSION,9
ARCTIC RESEARCH COMMISSION,Small Independent Agencies (less than 100 employees),,ARCTIC RESEARCH COMMISSION,10
JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,Small Independent Agencies (less than 100 employees),,JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,6
ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Small Independent Agencies (less than 100 employees),,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,41
NUCLEAR WASTE TECHNICAL REVIEW BOARD,Small Independent Agencies (less than 100 employees),,NUCLEAR WASTE TECHNICAL REVIEW BOARD,24
CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Small Independent Agencies (less than 100 employees),,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,9
COMMISSION ON CIVIL RIGHTS,Small Independent Agencies (less than 100 employees),,COMMISSION ON CIVIL RIGHTS,50
COUNCIL OF ECONOMIC ADVISERS,Small Independent Agencies (less than 100 employees),,COUNCIL OF ECONOMIC ADVISERS,27
COMMISSION OF FINE ARTS,Small Independent Agencies (less than 100 employees),,COMMISSION OF FINE ARTS,11
NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,Small Independent Agencies (less than 100 employees),,NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,17
PUBLIC INTEREST DECLASSIFICATION BOARD,Small Independent Agencies (less than 100 employees),,PUBLIC INTEREST DECLASSIFICATION BOARD,7
OFFICE OF THE FEDERAL COORDINATOR FOR ALASKA NATURAL GAS TRANSPORTATION PRO,Small Independent Agencies (less than 100 employees),,OFFICE OF THE FEDERAL COORDINATOR FOR ALASKA NATURAL GAS TRANSPORTATION PROJECTS,10
DENALI COMMISSION,Small Independent Agencies (less than 100 employees),,DENALI COMMISSION,22
MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY,Small Independent Agencies (less than 100 employees),,MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION,49
COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,Small Independent Agencies (less than 100 employees),,COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,24
TRADE AND DEVELOPMENT AGENCY,Small Independent Agencies (less than 100 employees),,TRADE AND DEVELOPMENT AGENCY,45
FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,Small Independent Agencies (less than 100 employees),,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,10
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,Small Independent Agencies (less than 100 employees),,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,39
FARM CREDIT SYSTEM INSURANCE CORPORATION,Small Independent Agencies (less than 100 employees),,FARM CREDIT SYSTEM INSURANCE CORPORATION,11
BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,Small Independent Agencies (less than 100 employees),,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,7
OFFICE OF GOVERNMENT ETHICS,Small Independent Agencies (less than 100 employees),,OFFICE OF GOVERNMENT ETHICS,75
VALLES CALDERA TRUST,Small Independent Agencies (less than 100 employees),,VALLES CALDERA TRUST,39
VIETNAM EDUCATION FOUNDATION,Small Independent Agencies (less than 100 employees),,VIETNAM EDUCATION FOUNDATION,8
ELECTION ASSISTANCE COMMISSION,Small Independent Agencies (less than 100 employees),,ELECTION ASSISTANCE COMMISSION,56
INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,Small Independent Agencies (less than 100 employees),,INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,5
INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,Small Independent Agencies (less than 100 employees),,INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,18
COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Small Independent Agencies (less than 100 employees),,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,28
ADVISORY COUNCIL ON HISTORIC PRESERVATION,Small Independent Agencies (less than 100 employees),,ADVISORY COUNCIL ON HISTORIC PRESERVATION,53
HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,Small Independent Agencies (less than 100 employees),,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,4
U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,Small Independent Agencies (less than 100 employees),,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,15
INTER,Small Independent Agencies (less than 100 employees),,INTER,45
MARINE MAMMAL COMMISSION,Small Independent Agencies (less than 100 employees),,MARINE MAMMAL COMMISSION,22
NATIONAL COUNCIL ON DISABILITY,Small Independent Agencies (less than 100 employees),,NATIONAL COUNCIL ON DISABILITY,23
NATIONAL MEDIATION BOARD,Small Independent Agencies (less than 100 employees),,NATIONAL MEDIATION BOARD,48
NATIONAL CAPITAL PLANNING COMMISSION,Small Independent Agencies (less than 100 employees),,NATIONAL CAPITAL PLANNING COMMISSION,46
NATIONAL SECURITY COUNCIL,Small Independent Agencies (less than 100 employees),,NATIONAL SECURITY COUNCIL,69
OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,Small Independent Agencies (less than 100 employees),,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,57
OFFICE OF NATIONAL DRUG CONTROL POLICY,Small Independent Agencies (less than 100 employees),,OFFICE OF NATIONAL DRUG CONTROL POLICY,97
OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,Small Independent Agencies (less than 100 employees),,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,45
FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,Small Independent Agencies (less than 100 employees),,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,85
FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,Small Independent Agencies (less than 100 employees),,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,45
RECOVERY ACT ACCOUNTABILITY & TRANSPARENCY BOARD,Small Independent Agencies (less than 100 employees),,RECOVERY ACT ACCOUNTABILITY & TRANSPARENCY BOARD,24
OFFICE OF SCIENCE AND TECHNOLOGY POLICY,Small Independent Agencies (less than 100 employees),,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,29
JAPAN,Small Independent Agencies (less than 100 employees),,JAPAN,13
UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,Small Independent Agencies (less than 100 employees),,UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,15
COMMISSION ON THE PREVENTION OF WEAPONS OF MASS DESTRUCTION PROLIFERATION A,Small Independent Agencies (less than 100 employees),,COMMISSION ON THE PREVENTION OF WEAPONS OF MASS DESTRUCTION PROLIFERATION AND TERRORISM,12
FINANCIAL CRISIS INQUIRY COMMISSION,Small Independent Agencies (less than 100 employees),,FINANCIAL CRISIS INQUIRY COMMISSION,30
MEDICARE PAYMENT ADVISORY COMMISSION,Small Independent Agencies (less than 100 employees),,MEDICARE PAYMENT ADVISORY COMMISSION,49
U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM,Small Independent Agencies (less than 100 employees),,U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM,24
UNITED STATES,Small Independent Agencies (less than 100 employees),,UNITED STATES,31
DWIGHT D. EISENHOWER MEMORIAL COMMISSION,Small Independent Agencies (less than 100 employees),,DWIGHT D. EISENHOWER MEMORIAL COMMISSION,11
